Dates,Center_mass,DSI,Center_mass_top,Center_mass_bottom,vol_pos,vol_neg,opt_vol,price
2021-06-23,252.14171523720475,35.410236852742095,258.5684609502107,216.92226742743992,12346316.400000004,-3134569.7000000007,10407211.008877652,243.57000732421875
2021-06-24,254.52371601946047,38.461937471235245,261.51279873620354,214.8697260707365,12794786.869999997,-3690846.12,14271343.101494005,250.57000732421875
2021-06-25,254.15525416772377,43.48868172013621,261.55008403790987,216.05644459993215,13995813.094999999,-3649072.5699999994,11120818.82245185,248.3800048828125
2021-06-28,248.1044145367344,44.50484369346428,262.06614635404907,216.61214973576782,16636330.800000003,-3309764.76,1654814.201876497,239.9600067138672
2021-06-29,244.9047526596992,39.95869806562206,263.1723568281938,220.7104669412123,14919513.0,-4022473.8000000003,-105228.76825335622,235.75999450683594
2021-06-30,245.29776873953762,38.865390888220276,263.1355836074605,225.05786987935218,10343372.76,-6746043.150000001,2796511.069802845,239.55999755859375
2021-07-01,246.37649672012478,44.68701943508254,261.5783192931638,223.47883373588033,10099337.709999997,-7859265.26,5608419.579587927,239.72999572753906
2021-07-02,245.41742671560309,45.825963130653996,259.3093700700738,223.41641013376227,12450096.21,-7972347.045,4438695.880792821,236.67999267578125
2021-07-06,241.50173454159813,40.29632972674857,257.6466059713482,226.13118332951413,14991685.660000002,-8345533.209999999,-1646202.4430911187,236.13999938964844
2021-07-07,242.34053061501035,46.762950937190325,257.19513109591077,226.1915186918324,14827188.9654,-9083068.9614,2607000.854591038,231.77999877929688
2021-07-08,233.65734220263548,44.79731246010683,256.25305692086897,225.34862036463352,12119522.479999997,-11067771.9,-9954697.01440302,236.77000427246094
2021-07-09,244.04423922002167,40.52632205167255,254.5754112660315,224.96617925949005,14643314.440000001,-10311706.079999998,11314304.358089944,239.58999633789062
2021-07-12,246.96718404562952,46.12091669510679,253.42066103248635,221.9784226209041,7736461.680000002,-13091806.799999999,3925093.2131953556,238.2899932861328
2021-07-13,240.764210230588,46.905321754645435,252.594021305426,224.0189578683293,19276213.6404,-8229968.067000001,1094551.3314977866,228.1999969482422
2021-07-14,237.4634267092878,41.874076927355084,261.09231944637384,216.35157600525898,9929003.759999998,-4580948.459999999,-634201.3973291907,224.4499969482422
2021-07-15,241.16606882464072,40.24468345288844,256.62795926710527,215.10388780082098,8290876.44,-5125593.549999999,-2397746.9003684223,222.75999450683594
2021-07-16,239.25819682612993,38.982760789343615,255.4118754113391,214.209822771602,8030719.079999999,-6198563.879999999,-2767052.019283492,217.74000549316406
2021-07-19,224.41560562761958,39.30151592969279,267.45315314164543,213.08504628839424,7391434.213800001,-6919237.1521000005,-8545650.61471561,206.99000549316406
2021-07-20,223.09763545573495,39.44604066433726,265.60218460983566,212.23387997641726,7444276.0086,-7256868.5943,-8101157.501775395,217.14999389648438
2021-07-21,239.79243247283782,47.172057703162444,263.48305368525536,206.67125789590517,3552313.8000000003,-7821072.7700000005,-1189524.3468963802,222.5399932861328
2021-07-22,237.2766619450292,39.6101562104419,267.41958879450124,201.03345738470526,3891840.02,-7817828.12,-2034565.9842905924,220.8699951171875
2021-07-23,233.2037920331562,33.92680949437007,269.0140772496805,204.2547030348633,7899206.1,-6495288.199999999,712343.8947105631,221.52000427246094
2021-07-26,237.48036929551466,36.781053151973936,267.0980150952836,204.36314731747404,8007231.619999997,-7254967.589999999,-1932482.8504876979,225.85000610351562
2021-07-27,236.13731850712193,35.44483144716802,253.29018127426204,204.27377083613123,9390360.0,-6519816.380000001,-2314316.7801816296,222.27000427246094
2021-07-28,238.59842624726411,39.745869587391454,266.95744787910303,204.6049443879047,8038909.760000002,-7207924.319999999,5778692.558539314,231.57000732421875
2021-07-29,239.0156826817207,41.70793757202793,265.22510993843457,204.91516946145722,7848614.799999999,-7312080.6,5804782.657288445,231.6300048828125
2021-07-30,236.2119071740063,43.53556167742692,252.47328191407928,206.5468005501579,11950889.040000003,-5173430.580000002,1912630.043859642,226.47999572753906
2021-08-02,230.1688653796303,53.13522060191163,252.58905349675965,208.27770110486597,12172942.649999999,-5375364.81,-3133692.3478668593,225.33999633789062
2021-08-03,232.88770812361898,57.71765169714364,253.12126240178804,209.05351729698364,10059207.570000002,-6263063.2700000005,-251894.61540980637,229.08999633789062
2021-08-04,232.20936071053399,51.976934652298944,251.28546069691603,209.3058922497778,7841626.5600000005,-7936953.84,-664379.5592893995,226.6300048828125
2021-08-05,232.87190912153267,54.48505744572719,250.48526032778142,210.0966489624717,9333947.969999997,-7206976.889999999,448230.0433704797,229.94000244140625
2021-08-06,235.87856808688474,48.08962740703817,250.39245694374353,209.7024075340669,9415772.190000001,-7606888.880000001,5252721.316949414,231.3300018310547
